,Date,Competition,Round,Venue,Squad,Opponent,Start,Body Part,Minute,Score,Goalkeeper,Assist,Goal,Age,Jersey,Pos.,Match Result
199,2010-12-04,La Liga,Matchweek 14,Home,Real Madrid,Valencia,Y,Right Foot,86,2-1,Vicente Guaita,No assist,1,25,7,CF,Win
200,2010-12-04,La Liga,Matchweek 14,Home,Real Madrid,Valencia,Y,Left Foot,72,2-1,Vicente Guaita,Mesut Ozil,1,25,7,CF,Win
201,2010-12-08,Champions League,Group stage,Home,Real Madrid,Auxerre,Y,Right Foot,49,4-0,Oliver Sorin,Marcelo ,1,25,7,LW,Win
202,2010-12-12,La Liga,Matchweek 15,Away,Real Madrid,Zaragoza,Y,Right Foot,44,3-1,Leo Franco,Free kick,1,25,7,LW,Win
203,2010-12-22,Copa del Rey,Round of 16,Home,Real Madrid,Levante,Y,Right Foot,44,8-2,Gustavo Munúa,Karim Benzema,1,25,7,LW,Win
204,2010-12-22,Copa del Rey,Round of 16,Home,Real Madrid,Levante,Y,Right Foot,73,8-2,Gustavo Munúa,Karim Benzema,1,25,7,LW,Win
205,2010-12-22,Copa del Rey,Round of 16,Home,Real Madrid,Levante,Y,Right Foot,71,8-2,Gustavo Munúa,Angel Di María,1,25,7,LW,Win
206,2011-01-03,La Liga,Matchweek 17,Away,Real Madrid,Getafe,Y,Right Foot,57,3-2,Jordi Codina,Karim Benzema,1,25,7,LW,Win
207,2011-01-03,La Liga,Matchweek 17,Away,Real Madrid,Getafe,Y,Right Foot,11,3-2,Jordi Codina,Penalty,1,25,7,LW,Win
208,2011-01-09,La Liga,Matchweek 18,Home,Real Madrid,Villarreal,Y,Right Foot,10,4-2,Diego López,Mesut Ozil,1,25,7,LW,Win
209,2011-01-09,La Liga,Matchweek 18,Home,Real Madrid,Villarreal,Y,Head,45,4-2,Diego López,Xabi Alonso,1,25,7,LW,Win
210,2011-01-09,La Liga,Matchweek 18,Home,Real Madrid,Villarreal,Y,Left Foot,79,4-2,Diego López,Kaká,1,25,7,LW,Win
211,2011-01-13,Copa del Rey,Quarter-finals,Home,Real Madrid,Atletico Madrid,Y,Right Foot,60,3-1,David de Gea,Mesut Ozil,1,25,7,LW,Win
212,2011-01-20,Copa del Rey,Quarter-finals,Away,Real Madrid,Atletico Madrid,Y,Right Foot,22,1-0,David de Gea,Sergio Ramos,1,25,7,CF,Win
213,2011-02-06,La Liga,Matchweek 22,Home,Real Madrid,Real Sociedad,Y,Head,42,4-1,Claudio Bravo,Mesut Ozil,1,26,7,LW,Win
214,2011-02-06,La Liga,Matchweek 22,Home,Real Madrid,Real Sociedad,Y,Left Foot,20,4-1,Claudio Bravo,No assist,1,26,7,LW,Win
215,2011-02-09,International Frendly,Frendly,Not say,Portugal,Argentina,Y,Right Foot,21,sin dato,S. Romero,Hugo Almeida,1,26,7,LW,Loss
